"Neighborhood","HouseStyle","row_count","sum_LotArea"
"NAmes","1Story","159","1589811"
"CollgCr","1Story","91","841644"
"Gilbert","2Story","60","668112"
"Timber","1Story","23","554694"
"CollgCr","2Story","53","546602"
"NridgHt","1Story","51","537687"
"Sawyer","1Story","53","528438"
"Edwards","1Story","53","511296"
"NoRidge","2Story","33","485691"
"NWAmes","1Story","35","403813"
"ClearCr","1Story","11","395797"
"Mitchel","1Story","32","394436"
"Somerst","1Story","37","350820"
"NWAmes","2Story","29","348885"
"Somerst","2Story","49","323495"
"NridgHt","2Story","26","300685"
"OldTown","2Story","32","274465"
"SawyerW","1Story","28","271008"
"OldTown","1.5Fin","33","267283"
"ClearCr","1.5Fin","6","266593"
"Crawfor","1Story","19","260639"
"SawyerW","2Story","25","255102"
"NAmes","2Story","22","249793"
"OldTown","1Story","33","240257"
"Edwards","1.5Fin","22","228970"
"Crawfor","2Story","20","222029"
"NAmes","SLvl","21","221177"
"Edwards","2Story","14","185799"
"Timber","1.5Fin","2","178418"
"BrkSide","1.5Fin","25","172233"
"ClearCr","2Story","8","164932"
"Gilbert","1Story","11","155214"
"NAmes","1.5Fin","15","153818"
"StoneBr","1Story","18","149552"
"BrkSide","1Story","20","134561"
"IDOTRR","1.5Fin","16","133246"
"Veenker","1Story","8","128367"
"Timber","2Story","9","122229"
"StoneBr","2Story","7","117246"
"IDOTRR","1Story","13","109070"
"Crawfor","1.5Fin","9","90378"
"SWISU","1.5Fin","12","89785"
"NWAmes","SLvl","7","86695"
"OldTown","2.5Unf","8","74470"
"NoRidge","1Story","6","71886"
"Sawyer","1.5Fin","5","69098"
"BrkSide","2Story","6","67318"
"Sawyer","SFoyer","6","65721"
"Gilbert","SLvl","7","63493"
"Blmngtn","1Story","17","57769"
"SWISU","2Story","7","57349"
"Sawyer","SLvl","5","57205"
"Edwards","SLvl","6","53571"
"Sawyer","2Story","5","53525"
"Mitchel","SLvl","5","51425"
"NAmes","SFoyer","6","50055"
"Mitchel","1.5Fin","4","49570"
"OldTown","2.5Fin","3","46856"
"Timber","SLvl","4","43900"
"Edwards","SFoyer","5","42229"
"Mitchel","SFoyer","5","41475"
"SWISU","2.5Fin","4","41363"
"BrkSide","1.5Unf","6","40904"
"IDOTRR","2Story","5","38074"
"ClearCr","SLvl","3","37199"
"Mitchel","2Story","3","32684"
"CollgCr","SLvl","3","30135"
"BrDale","2Story","16","28816"
"Veenker","SLvl","2","25757"
"NoRidge","1.5Fin","2","25398"
"SawyerW","SFoyer","3","25267"
"CollgCr","SFoyer","3","24491"
"MeadowV","2Story","8","19611"
"NPkVill","1Story","4","17942"
"Veenker","2Story","1","17542"
"NAmes","1.5Unf","2","16827"
"SWISU","1Story","2","14692"
"OldTown","SFoyer","2","14179"
"NWAmes","1.5Fin","1","13837"
"SawyerW","SLvl","1","12800"
"IDOTRR","1.5Unf","2","12449"
"SawyerW","1.5Fin","1","12327"
"Gilbert","1.5Fin","1","12134"
"BrkSide","2.5Unf","1","11888"
"Crawfor","2.5Fin","1","11526"
"NPkVill","2Story","5","11465"
"NWAmes","SFoyer","1","10625"
"Crawfor","1.5Unf","1","10594"
"OldTown","1.5Unf","2","9888"
"MeadowV","SFoyer","6","9853"
"SawyerW","1.5Unf","1","9000"
"MeadowV","1Story","2","8448"
"IDOTRR","2.5Unf","1","7200"
"Crawfor","2.5Unf","1","7128"
"Blueste","2Story","2","3250"
"MeadowV","SLvl","1","1596"
